start,end,size,internal_calls,imports
0000CB4C,0000CF84,1080,0000DC9C 00002628 000040C4 000057B0 00005514 00023870 00023870 00005D78 00005AF4 00005FDC 00005B34 0000D480 00002628 0000DD84 00005FDC 00005B34 00005B34 0000D480 0000D480 00005C88 0000D3B0 00005C88 00005C88 0001487C 00002628 000040C4,CurResFile UseResFile GetResource ReleaseResource UseResFile GetResource GetResInfo p2cstr UseResFile FlushEvents GetMouse ShowCursor GetOSEvent Button ReleaseResource HideCursor FlushEvents DisposePtr
0000CF84,0000D3B0,1068,00004A9C 0000DC9C 000057B0 00005514 00023870 00023870 00005D78 00005AF4 00005FDC 00005B34 0000DD84 00005FDC 00005B34 00005B34 00005C88 000057BC 00023850 00023870 0000C68C 00004E80 00002598 00004A9C,CurResFile UseResFile GetResource ReleaseResource UseResFile GetResource GetResInfo ReleaseResource p2cstr UseResFile FlushEvents GetMouse ShowCursor GetOSEvent Button HideCursor ShowCursor c2pstr HideCursor FlushEvents DisposePtr
0000D3B0,0000D480,208,,GetHandleSize
0000D480,0000D808,904,000057B0 00004064 00023870 00023748 00023870 000238D0 000238D0 00023748 000238D0 00023748 000238D0 00023748 000238D0 00023748 000238D0 00023748 00023870 000238D0 000238D0 00023748 000238D0 00023748 000238D0 00023748 000238D0 00023748 000238D0 00005514,GetMouse SectRect HideCursor GetHandleSize IUDateString p2cstr IUTimeString p2cstr IUDateString p2cstr IUTimeString p2cstr ShowCursor
0000D808,0000D958,336,,LMGetMBarHeight LMSetMBarHeight GetPort SetPort NewRgn CopyRgn NewRgn RectRgn CopyRgn SetClip DisposeRgn NewRgn GetGrayRgn CopyRgn NewRgn SetRectRgn GetGrayRgn GetGrayRgn UnionRgn DisposeRgn SetPort
0000D958,0000DA58,256,,GetPort SetPort NewRgn CopyRgn DiffRgn PaintRgn DisposeRgn CopyRgn DisposeRgn GetGrayRgn CopyRgn DisposeRgn LMSetMBarHeight DrawMenuBar SetPort
0000DA58,0000DAE4,140,,
0000DAE4,0000DB48,100,0000DBA8 0000DBD4 0000DBD4,NumToString DebugStr
0000DB48,0000DBA8,96,0000DAE4 0000DAE4,ExitToShell
0000DBA8,0000DBD4,44,,BlockMoveData
0000DBD4,0000DC34,96,,BlockMoveData
0000DC34,0000DC9C,104,00002628,UseResFile ParamText Alert
0000DC9C,0000DCD0,52,0000DC34,ExitToShell
0000DCD0,0000DD08,56,0000DC34,ExitToShell
0000DD08,0000DD3C,52,0000DC34,ExitToShell
0000DD3C,0000DD84,72,00023748,
0000DD84,0000DDD0,76,,
0000DDD0,0000DEB0,224,00004510,
0000DEB0,0000DF14,100,,
0000DF14,0000DFBC,168,0000DB48,
0000DFBC,0000E0C4,264,0000DB48 0000DB48 0000DB48 0000DB48,
0000E0C4,0000E140,124,00004510 00004510,
0000E140,0000E16C,44,,
0000E16C,0000E19C,48,,
0000E19C,0000E240,164,0000E16C 00004510 00004510,
0000E240,0000E3AC,364,0000E19C,Random Random
0000E3AC,0000E55C,432,0000E19C,Random Random Random
0000E55C,0000E6F4,408,,
0000E6F4,0000E7DC,232,,
0000E7DC,0000E858,124,,PtToAngle
0000E858,0000F334,2780,00004944 00013D5C 0000F488 0001487C 0001A3D8 0000F420 0001487C 00004E24 00004E24 00013D5C 00013D5C 0001487C 00013D5C 0000F488 0001487C 000145A0 00005048 000113B8 0000E3AC 0000488C 0000E3AC 0000488C 00004774 0000DFBC 000124B0 00012370 00004774 0000DFBC 00004C18 0000FA2C 0000FB34 0000F798 0001663C 00010648 00016D6C 00002598 00004A9C 00002598 00004A9C,LMGetTicks LMGetTicks LMGetTicks LMGetTicks Random LMGetTicks LMGetTicks
0000F334,0000F390,92,0000F8D8,
0000F390,0000F3E0,80,0000F96C,
0000F3E0,0000F420,64,0000F96C,
0000F420,0000F488,104,0000DD3C 0000FC28,
0000F488,0000F4F0,104,0000DD3C 0000FC28,
0000F4F0,0000F558,104,0000DD3C 0000FC28,
0000F558,0000F6D4,380,0000DD3C 0000FC28 0000DD3C 0000FC28 0001487C 0000F738,
0000F6D4,0000F738,100,0000DD3C 0000FC28,
0000F738,0000F798,96,0000DD3C 0000FC28,
